citation_id,source_url,title,collision_node_count,root_cause,notes
10/2007/NQ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--14564,Nghị quyết số 10/2007/NQ-CP Về việc xét duyệt điều chỉnh quy hoạch sử dụng đất đến năm 2010 và kế hoạch sử dụng đất 5 năm (2006 - 2010) của thành phố Hồ Chí Minh,442,table_broadened_vocab,Embedded data table misread as Khoản numbering (§12b mechanism) using header vocabulary (Thứ tự/Loại đất) beyond the originally-scoped Đơn vị tính: trigger.
12/2017/QH14,https://vbpl.vn/van-ban/chi-tiet/van-ban--122826,"Luật Sửa đổi, bổ sung một số điều của Bộ luật Hình sự số 100/2015/QH13 số 12/2017/QH14",414,nfd_unicode_normalization,"raw_source.fullText is Unicode NFD (decomposed combining marks), not NFC; parser regex literals (e.g. DIEU_KHOAN_PATTERN) are NFC and silently fail to match, absorbing a whole Điều/heading into the previous one. See §16."
08/2007/NQ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--14666,Nghị quyết số 08/2007/NQ-CP Về việc xét duyệt điều chỉnh quy hoạch sử dụng đất đến năm 2010 và kế hoạch sử dụng đất 5 năm (2006 - 2010) của tỉnh Long An,370,table_broadened_vocab,Embedded data table misread as Khoản numbering (§12b mechanism) using header vocabulary (Thứ tự/Loại đất) beyond the originally-scoped Đơn vị tính: trigger.
50/2007/NQ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--13407,Nghị quyết số 50/2007/NQ-CP Về việc xét duyệt điều chỉnh Quy hoạch sử dụng đất đến năm 2010 và kế hoạch sử dụng đất 5 năm (2006 - 2010) của tỉnh Nghệ An,366,table_broadened_vocab,Embedded data table misread as Khoản numbering (§12b mechanism) using header vocabulary (Thứ tự/Loại đất) beyond the originally-scoped Đơn vị tính: trigger.
41/2007/NQ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--13745,Nghị quyết số 41/2007/NQ-CP Về việc điều chỉnh quy hoạch sử dụng đất đến năm 2010 và kế hoạch sử dụng đất 5 năm (2006 - 2010) của thành phố Đà Nẵng,348,table_broadened_vocab,Embedded data table misread as Khoản numbering (§12b mechanism) using header vocabulary (Thứ tự/Loại đất) beyond the originally-scoped Đơn vị tính: trigger.
36/2006/NQ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--14772,Nghị quyết số 36/2006/NQ-CP Về việc xét duyệt điều chỉnh quy hoạch sử dụng đất đến năm 2010 và kế hoạch sử dụng đất 5 năm (2006 - 2010) của thành phố Hải Phòng,336,table_broadened_vocab,Embedded data table misread as Khoản numbering (§12b mechanism) using header vocabulary (Thứ tự/Loại đất) beyond the originally-scoped Đơn vị tính: trigger.
31/2007/NQ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--14046,Nghị quyết số 31/2007/NQ-CP Về việc xét duyệt điều chỉnh quy hoạch sử dụng đất đến năm 2010 và kế hoạch sử dụng đất 5 năm (2006 - 2010) của tỉnh Hưng Yên,315,table_broadened_vocab,Embedded data table misread as Khoản numbering (§12b mechanism) using header vocabulary (Thứ tự/Loại đất) beyond the originally-scoped Đơn vị tính: trigger.
30/2006/NQ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--14968,Nghị quyết số 30/2006/NQ-CP Về việc xét duyệt quy hoạch sử dụng đất đến năm 2010 và kế hoạch sử dụng đất 5 năm (2006 - 2010) của tỉnh Đắk Nông,311,table_broadened_vocab,Embedded data table misread as Khoản numbering (§12b mechanism) using header vocabulary (Thứ tự/Loại đất) beyond the originally-scoped Đơn vị tính: trigger.
44/2007/NĐ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--13765,Nghị định số 44/2007/NĐ-CP Về việc điều chỉnh Quy hoạch sử dụng đất đến năm 2010 và kế hoạch sử dụng đất 5 năm (2006 - 2010) của tỉnh Sơn La,272,table_broadened_vocab,Embedded data table misread as Khoản numbering (§12b mechanism) using header vocabulary (Thứ tự/Loại đất) beyond the originally-scoped Đơn vị tính: trigger.
31/2008/NQ-CP,https://vbpl.vn/van-ban/chi-tiet/van-ban--12443,Nghị quyết số 31/2008/NQ-CP Về việc xét duyệt điều chỉnh quy hoạch sử dụng đất đến năm 2010 và kế hoạch sử dụng đất kỳ cuối của tỉnh Long An,269,table_broadened_vocab,Embedded data table misread as Khoản numbering (§12b mechanism) using header vocabulary (Thứ tự/Loại đất) beyond the originally-scoped Đơn vị tính: trigger.
